Date,Time,Temp_Out,Humidity_out,Dew_Pt.,Wind_Speed,Pressure_Bar  ,Heat_Index
1/1/2007,0:30,23,34,6.3,2.2,976.7,22.1
1/1/2007,1:00,23.1,33,5.9,2.7,976.4,22.1
1/1/2007,1:30,22.9,33,5.8,2.7,976.2,21.8
1/1/2007,2:00,22.9,33,5.8,3.1,975.8,21.9
1/1/2007,2:30,22.6,34,5.9,2.7,975.6,21.4
1/1/2007,3:00,22.7,32,5.1,2.7,975.4,21.4
1/1/2007,3:30,22.6,32,5.1,2.7,975.4,21.3
1/1/2007,4:00,22.5,32,5,2.2,975.1,21.2
1/1/2007,4:30,22.2,34,5.6,3.1,975.3,20.8
1/1/2007,5:00,21.2,37,5.9,3.1,975.6,19.6
1/1/2007,5:30,20.9,37,5.6,4.9,975.6,19.3
1/1/2007,6:00,20.7,37,5.5,4.9,976.2,19.2
1/1/2007,6:30,20.7,35,4.6,6.3,976.3,19
1/1/2007,7:00,19.8,39,5.4,6.3,976.6,18.3
1/1/2007,7:30,19.6,39,5.3,5.8,976.5,18.2
1/1/2007,8:00,19.1,40,5.2,4.9,977,17.7
1/1/2007,8:30,19.6,39,5.2,4.5,977.4,18.1
1/1/2007,9:00,20.3,37,5.1,4.5,977.4,18.7
1/1/2007,9:00,20.3,37,5.1,4.5,977.4,18.7
